id_accordo,ccnl_code,titolo,txt_path,char_count,garbage_ratio,quality_bin
18355,B121,CCNL 6 luglio 1971 per gli addetti all'industria degli abrasivi,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 11 marzo 1952 per gli appartenenti alle categorie speciali (già equiparati) nelle industrie degli abrasivi (B121).txt,26985,0.0056,clean
18386,B130,CCNL 5 maggio 1971 per le aziende industriali che producono articoli di vetro e per i lavoratori da esse dipendenti,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 18 maggio 1968 per le aziende industriali che producono articoli di vetro e per i lavoratori da esse dipendenti (B130).txt,523963,0.025,noisy
17583,J231,"CCNL per i funzionari delle Casse di Risparmio, Monti di Credito su pegno di 1a categoria ed Enti equiparati","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo Economico Nazionale per i funzionari delle Casse di Risparmio, Enti equiparati e Monti di Credito su pegno di 1a categoria (J231).txt",13829,0.0058,clean
18336,B371,CCNL 12 marzo 1971 per gli addetti all'industria delle materie plastiche,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 26 gennaio 2023 di rinnovo del CCNL 16 settembre 2020 per gli addetti all'industria della gomma, cavi elettrici ed affini e all'industria dell (B371).txt",36836,0.0052,clean
18312,B371,CCNL 11 febbraio 1971 per gli addetti all'industria della gomma cavi elettrici ed affini,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 26 gennaio 2023 di rinnovo del CCNL 16 settembre 2020 per gli addetti all'industria della gomma, cavi elettrici ed affini e all'industria dell (B371).txt",36836,0.0052,clean
18102,D121,CCNL 26 gennaio 1971 per i lavoratori addetti all'industria delle calzature,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CALZATURE Industrie (D121).txt,283052,0.0001,clean
18082,B120,CCNL 11 dicembre 1970 per gli addetti alla industria della ceramica,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 1 novembre 1967 per gli addetti all'industria della ceramica (B120).txt,328364,0.0162,clean
18070,E068,CCNL del 27 novembre 1970 per gli addetti alla industria saccarifera,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 25 agosto 1964 per il rinnovo del CCNL 29 agosto 1961 per gli addetti all'industria saccarifera (E068).txt,366058,0.0117,clean
3113,A171,CONSORZI Miglioramento Fondiario: Dirigenti (in A101),/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CONSORZI Miglioramento Fondiario Dirigenti (in A101) (A171).txt,47669,0.0009,clean
18095,E042,CCNL 1 ottobre 1970  per i dipendenti dalle aziende di lavorazione della foglia del tabacco,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 1 ottobre 1970 per i dipendenti dalle aziende di lavorazione della foglia del tabacco (E042).txt,7572,0.0102,clean
18010,E066,CCNL 17 settembre 1970  per gli addetti all'industria delle conserve ittiche,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo nazionale del 19 luglio 1947 per la determinazione delle qualifiche operaie nelle industrie conserviere (E066).txt,16401,0.0102,clean
17323,H011,CCNL per i dipendenti da aziende commerciali 31 luglio 1970,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo CCNL Terziario, Distribuzione e Servizi (H011).txt",5553,0.0058,clean
17209,V012,CCNL dirigenti aziende industriali,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo per il rinnovo del CCNL 25 novembre 2009 per i dirigenti di aziende produttrici di beni e servizi (V012).txt,17080,0.0039,clean
2158,A101,CONSORZI di Bonifica: Dirigenti,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo per il rinnovo del CCNL 29032006 per i dirigenti dei consorzi di bonifica e di miglioramento fondiario (A101).txt,28025,0.0044,clean
17590,J221,"CCNL per il personale impiegatizio, subalterno ed ausiliario delle Casse di Risparmio, Enti equiparati e Monti di Credito su pegno di 1a categoria",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/BANCARI CASSE DI RISPARMIO (J221).txt,244221,0.0002,clean
17867,E057,CCNL 5 maggio 1970 per gli addetti alle industrie della birra e del malto ,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 27 luglio 1972 per gli addetti alle industrie della birra e del malto (E057).txt,131548,0.0043,clean
